,age,weight,height
Shogo Nakano,0,0,0
Shuhei Takeuchi,0,0,0
Siosaia Fifita,0,0,0
Taichi Takahashi,0,0,0
Takayasu Tsuji,0,0,0
Takuya Yamasawa,0,0,0
Tevita Tatafu,0,0,0
Warner Dearns,0,0,0
Yu Tamura,34,91,181
Yukio Morikawa,0,0,0
Yusuke Kizu,0,0,0
Yutaka Nagare,30,71,166
Agustin Creevy,37,106,182
Eduardo Bello,0,0,0
Facundo Isa,29,103,188
Francisco Gomez Kodela,37,120,185
Guido Petti Pagadizaval,28,104,193
Julian Montoya,29,110,183
Marcos Kremer,25,115,195
Matias Alemanno,31,112,198
Mayco Vivas,0,0,0
Nahuel Tetaz Chaparro,33,115,190
Pablo Matera,29,99,193
Rodrigo Bruni,0,0,0
Santiago Socino,30,110,187
Tomas Lavanini,30,118,200
Alexander Todua,35,92,183
Bautista Delguy,25,81,182
Benjamin Urdapilleta,36,80,178
Domingo Miotti,26,85,185
Emiliano Boffelli,28,91,191
Felipe Ezcurra,29,89,179
Gonzalo Bertranou,29,77,174
Ignacio Ruiz,0,0,0
Jeronimo De La Fuente,31,93,183
Joel Sclavi,0,0,0
Juan Cruz Mallia,26,87,183
Juan Imhoff,34,90,185
Juan Martin Gonzalez,0,0,0
Lautaro Bazan Velez,0,0,0
Lucio Cinti,0,0,0
Matias Moroni,31,85,184
Matias Orlando,31,94,183
Nicolas Sanchez,34,83,177
Pedro Rubiolo,0,0,0
Santiago Carreras,0,0,0
Santiago Cordero,29,79,176
Santiago Grondona,0,0,0
Tomas Albornoz,25,82,177
Tomas Cubelli,33,79,175
Abraham Papali'i,0,0,0
Aki Seiuli,30,112,184
Alamanda Motuga,0,0,0
Ally Hogg,40,105,191
Ben Nee Nee,29,115,200
Filo Paulo,35,122,198
Henry Stowers,27,111,190
JP Sauni,0,0,0
Jack Lam,35,101,183
Joe Tekori,39,119,198
John Ulugia,36,113,180
Jonah Aoina,0,0,0
Kalolo Tuiloma,32,142,194
Masalosalo Tutaia,38,127,204
Michael Alaalatoa,31,126,191
Michael Paterson,37,106,196
Mikaele Tapili,0,0,0
Naama Leleimalefaga,35,121,178
Olajuwon Noa,33,110,193
Paul Alo-Emile,31,129,180
Ray Niuia,26,115,173
Sakaria Taulafo,40,118,183
Sam Slade,25,111,194
Seilala Lam,33,110,183
Senio Toleafoa,0,0,0
TJ Ioane,33,96,187
Talalelei Gray,32,110,194
Theodore McFarland,0,0,0
AJ Alatimu,29,80,173
Ahsee Tuala,33,95,183
Albert Onelei,0,0,0
Alex Luatua,0,0,0
