,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Jack Conan,Number 8,lions,2022,,,,,,,,,,,,,,,,,,
Jamie George,Hooker,saracens,2022, 0 , 0 , 47 , 24 , 1 , 0 , 12 , 1 , 2 , 0 , 0 , 22 , 4 , 2 , 11 , 2 , 0 , 0 
Jonny Hill,Lock,exeter-chiefs,2022, 5 , 1 , 38 , 16 , 2 , 0 , 1 , 0 , 3 , 0 , 0 , 6 , 3 , 2 , 0 , 0 , 0 , 0 
Josh Navidi,Flanker 7,lions,2022,,,,,,,,,,,,,,,,,,
Justin Tipuric,Flanker 6,lions,2022,,,,,,,,,,,,,,,,,,
Ken Owens,Hooker,lions,2022,,,,,,,,,,,,,,,,,,
Luke Cowan-Dickie,Hooker,exeter-chiefs,2022, 5 , 1 , 232 , 90 , 15 , 0 , 11 , 6 , 1 , 0 , 0 , 23 , 3 , 1 , 5 , 7 , 0 , 0 
Mako Vunipola,Prop,saracens,2022, 0 , 0 , 51 , 35 , 0 , 0 , 19 , 2 , 1 , 0 , 0 , 64 , 2 , 3 , 2 , 8 , 1 , 0 
Maro Itoje,Lock 4,saracens,2022, 5 , 1 , 62 , 31 , 2 , 1 , 5 , 0 , 0 , 0 , 0 , 35 , 3 , 2 , 3 , 6 , 0 , 0 
Rory Sutherland,Prop,worcester,2022, 5 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 1 
Sam Simmonds,Number 8,exeter-chiefs,2022, 25 , 5 , 120 , 47 , 4 , 0 , 14 , 1 , 2 , 0 , 0 , 35 , 5 , 1 , 3 , 5 , 0 , 0 
Tadgh Beirne,Lock,munster,2022, 5 , 1 , 27 , 15 , 0 , 0 , 11 , 3 , 0 , 0 , 0 , 19 , 0 , 4 , 2 , 3 , 0 , 0 
Tadhg Furlong,Tighthead Prop,lions,2022,,,,,,,,,,,,,,,,,,
Tom Curry,Flanker 7,sale,2022, 0 , 0 , 34 , 14 , 0 , 0 , 12 , 2 , 0 , 0 , 0 , 18 , 0 , 3 , 4 , 1 , 0 , 0 
Wyn Jones,Prop,lions,2022,,,,,,,,,,,,,,,,,,
Zander Fagerson,Prop,lions,2022,,,,,,,,,,,,,,,,,,
Ali Price,Scrum half,lions,2022,,,,,,,,,,,,,,,,,,
Bundee Aki,Centre,connacht,2022, 5 , 1 , 20 , 13 , 0 , 0 , 11 , 5 , 0 , 0 , 0 , 12 , 2 , 1 , 4 , 1 , 0 , 0 
Chris Harris,Centre,gloucester,2022, 15 , 3 , 37 , 16 , 1 , 0 , 10 , 2 , 1 , 0 , 0 , 26 , 2 , 2 , 4 , 1 , 0 , 0 
Conor Murray,Scrum half,munster,2022, 10 , 2 , 36 , 13 , 0 , 1 , 217 , 1 , 37 , 0 , 0 , 19 , 4 , 0 , 1 , 2 , 0 , 0 
Dan Biggar,Fly half,lions,2022,,,,,,,,,,,,,,,,,,
Duhan van der Merwe,Wing,worcester,2022, 5 , 1 , 90 , 17 , 4 , 2 , 8 , 3 , 0 , 0 , 0 , 13 , 3 , 1 , 5 , 1 , 0 , 1 
Elliot Daly,Centre,saracens,2022, 10 , 2 , 38 , 15 , 2 , 1 , 19 , 1 , 18 , 0 , 0 , 36 , 7 , 1 , 3 , 1 , 0 , 0 
Finn Russell,Fly half,racing-92,2022, 3 , 0 , 1 , 5 , 0 , 0 , 34 , 1 , 15 , 0 , 1 , 5 , 1 , 0 , 0 , 0 , 0 , 0 
Gareth Davies,Scrum half,lions,2022,,,,,,,,,,,,,,,,,,
Josh Adams,Wing,lions,2022,,,,,,,,,,,,,,,,,,
Liam Williams,Wing,lions,2022,,,,,,,,,,,,,,,,,,
Louis Rees-Zammit,Wing,gloucester,2022, 0 , 0 , 20 , 4 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 
