,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Bevan Rodd,Prop,england,2019,,,,,,,,,,,,,,,,,,
Billy Vunipola,Number 8,england,2019, 10 , 2 , 287 , 121 , 14 , 4 , 56 , 24 , 0 , 0 , 0 , 66 , 12 , 8 , 11 , 5 , 0 , 0 
Charlie Ewels,Lock,england,2019, 0 , 0 , 24 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 2 , 2 , 1 , 0 , 0 , 0 
Courtney Lawes,Flanker 6,england,2019, 0 , 0 , 96 , 47 , 2 , 0 , 8 , 2 , 0 , 0 , 0 , 71 , 3 , 5 , 5 , 6 , 0 , 0 
Ellis Genge,Prop,england,2019, 5 , 1 , 68 , 28 , 5 , 1 , 12 , 6 , 0 , 0 , 0 , 38 , 3 , 0 , 3 , 7 , 0 , 0 
Jack Willis,Number 8,england,2019,,,,,,,,,,,,,,,,,,
Jamie Blamire,Hooker,england,2019,,,,,,,,,,,,,,,,,,
Jamie George,Hooker,england,2019, 5 , 1 , 75 , 26 , 8 , 3 , 13 , 4 , 0 , 0 , 0 , 50 , 3 , 0 , 7 , 0 , 0 , 0 
Joe Heyes,Tighthead Prop,england,2019,,,,,,,,,,,,,,,,,,
Joe Marler,Prop,england,2019, 0 , 0 , 17 , 14 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 39 , 1 , 2 , 0 , 5 , 0 , 0 
Jonny Hill,Lock,england,2019,,,,,,,,,,,,,,,,,,
Kyle Sinckler,Tighthead Prop,england,2019, 5 , 1 , 111 , 49 , 1 , 3 , 29 , 2 , 1 , 0 , 0 , 45 , 5 , 1 , 5 , 5 , 0 , 0 
Lewis Ludlam,Openside Flanker,england,2019, 5 , 1 , 71 , 38 , 4 , 4 , 7 , 3 , 0 , 0 , 0 , 53 , 3 , 3 , 1 , 3 , 0 , 0 
Luke Cowan-Dickie,Hooker,england,2019, 25 , 5 , 88 , 37 , 0 , 2 , 9 , 3 , 0 , 0 , 0 , 44 , 4 , 3 , 6 , 3 , 0 , 0 
Mako Vunipola,Prop,england,2019, 0 , 0 , 35 , 34 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 31 , 4 , 0 , 1 , 3 , 0 , 0 
Maro Itoje,Lock 4,england,2019, 5 , 1 , 126 , 43 , 2 , 1 , 9 , 3 , 0 , 0 , 0 , 83 , 10 , 16 , 5 , 3 , 0 , 0 
Nic Dolly,Lock,england,2019,,,,,,,,,,,,,,,,,,
Nick Isiekwe,Lock,england,2019,,,,,,,,,,,,,,,,,,
Oliver Chessum,Blindside flanker,england,2019,,,,,,,,,,,,,,,,,,
Sam Simmonds,Number 8,england,2019,,,,,,,,,,,,,,,,,,
Sam Underhill,Flanker 7,england,2019,,,,,,,,,,,,,,,,,,
Tom Curry,Flanker 7,england,2019,,,,,,,,,,,,,,,,,,
Will Stuart,Tighthead Prop,england,2019,,,,,,,,,,,,,,,,,,
Adam Radwan,Left Wing,england,2019,,,,,,,,,,,,,,,,,,
